Scheme Name,Net Asset Value
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,14.7713
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,12.2246
HDFC Corporate Bond Fund - Growth Option,26.9559
HDFC Corporate Bond Fund - Growth Option - Direct Plan,27.3851
HDFC Corporate Bond Fund - IDCW Option,17.4627
HDFC Corporate Bond Fund - IDCW Option - Direct Plan,17.9222
HDFC Corporate Bond Fund - Quarterly IDCW Option,10.3539
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.1969
HSBC Corporate Bond Fund - Direct Annual IDCW,12.1220
HSBC Corporate Bond Fund - Direct Growth,64.3256
HSBC Corporate Bond Fund - Direct Quarterly IDCW,11.3935
HSBC Corporate Bond Fund - Direct Semi Annual IDCW,20.1359
HSBC Corporate Bond Fund - Regular Annual IDCW,11.9599
HSBC Corporate Bond Fund - Regular Growth,60.8680
HSBC Corporate Bond Fund - Regular Quarterly IDCW,11.0508
HSBC Corporate Bond Fund - Regular Semi Annual IDCW,17.0612
HSBC Corporate Bond Fund -Regular Plan - Bonus,23.1210
ICICI Prudential Corporate Bond Fund - Bonus,14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW,10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,25.8226
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option,12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,10.2789
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,15.0515
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW,10.2243
ICICI Prudential Corporate Bond Fund - Growth,24.7799
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option,12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW,10.4327
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend,10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend,10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW,10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW,10.8881
ICICI Prudential Corporate Bond Fund Retail Daily Dividend,10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend,10.3041
ICICI Prudential Corporate Bond Fund Retail Growth,22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend,10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend,10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend,10.2202
IDFC Corporate Bond Fund - Direct Annual IDCW,10.4162
IDFC Corporate Bond Fund - Direct Growth,16.4791
IDFC Corporate Bond Fund - Direct Half Yearly IDCW,11.6070
IDFC Corporate Bond Fund - Direct Monthly IDCW,10.3378
IDFC Corporate Bond Fund - Direct Periodic IDCW,10.9329
IDFC Corporate Bond Fund - Direct Quarterly IDCW,10.4276
IDFC Corporate Bond Fund - Regular Annual IDCW,10.3844
IDFC Corporate Bond Fund - Regular Growth,16.1206
IDFC Corporate Bond Fund - Regular Half Yearly IDCW,10.9936
IDFC Corporate Bond Fund - Regular Monthly IDCW,10.5913
IDFC Corporate Bond Fund - Regular Periodic IDCW,10.8674
IDFC Corporate Bond Fund - Regular Quarterly IDCW,10.4695
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment),1926.9129
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),1254.7604
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),2817.356
Invesco India Corporate Bond Fund - Direct Plan - Growth,2816.463
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1255.3101
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),1152.8043
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment),2783.2059
Invesco India Corporate Bond Fund - Growth,2651.5822
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment),1519.7993
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment),1150.6593
Kotak Coporate Bond Fund- Retail Plan-Growth Option,2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option,3247.3866
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option,1072.088
Kotak Corporate Bond Fund- Institutional Plan-Growth Option,2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option,3134.4661
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option,1035.5021
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option,1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option,1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option,1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option,1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option,1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option,1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan,10.8036
Mirae Asset Corporate Bond Fund Direct IDCW,10.8029
Mirae Asset Corporate Bond Fund Regular Growth,10.7104
Mirae Asset Corporate Bond Fund Regular IDCW,10.7102
